barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,position,import,dimensions,,,,,,,
,,,65.jpg,Lampe de table orientale en métal perforé,,Lampe de table orientale fabriquée de métal perforé. Disponible en noir ou stainless. Disponible en 3 tailles. Importation de l'Inde.,,,sherazed,tablelamps,,,,,,,,,,,,,,,,,,
10923450955,LZC-528 B-BG,,66.jpg,Lampe de table orientale ,,Lampe de table orientale fabriquée de métal perforé. Disponible en noir ou stainless. Disponible en 3 tailles. Importation de l'Inde.,,,sherazed,tablelamps,47,47,50,30,386,,,,,,,,,,,,,
1123450236,FE 10 1459,,67.jpg,Étagère métallique,,Étagère métallique tendance à 4 tablettes fabriquée en métal avec grillage noir. Importation de l'Inde.,,,industrialchic,storage,80,46,46,46,1240,,,,,,,,,,,,,
,FABL1,,68.jpg,Table d'appoint,,"Table d'appoint fabriquée en bois du Québec. Choix de bois disponible : merisier, cerisier, chêne blanc, chêne rouge, érable rouge, et teintes variées. Piètement métallique disponible en différentes couleurs et hauteurs.",,,local,bedsidetables,,,,,,,,,,,,,,,,,,
,SUCI0,,69.jpg,Table de nuit aviateur,,Table de nuit fabriquée en bois recouverte de feuille d'aluminium épaisse. Inspirée de l'aviation dans les années 50. Importation de l'Inde.,,,aviation,bedsidetables,44,41,44,15,225,,,,,,,,,,,,,
,BD6,,70.jpg,Table basse ronde en bois de chicham,,Table basse ronde en bois de chicham (bois de rose). Sculpture profonde. Pièce unique. Importation de l'Inde. ,,,antique,tables,,,,,,,,,,,,,,,,,,
,WDTV CABINET ,,71.jpg,Meuble de divertissement à 2 tiroirs,,"Meuble de divertissement à 2 tiroirs fabriqué de bois de rose. Disponible à 3 ou 4 tiroirs, et 4 teintes variées. Importation de l'Inde.",,,rosewood,mediaunits,50,81,46,150,1080,,,,,,,,,,,,,
,KHEM1,,72.jpg,Coffre en cuir et canevas,,Coffre style vintage en cuir et canevas. Disponibles avec différents designs. Importation de l'Inde.,,,vintagecanvas,dcstorageboxes,50,50,40,10,325,,,,,,,,,,,,,
,KHEM2,,73.jpg,Pouf,,Pouf fabriqué en coton biologique et canevas. Importation de l'Inde.,,,vintagecanvas,ottomans,44,44,31,15,336,,,,,,,,,,,,,
,MAEX4,,74.jpg,Buffet en bois recyclé,,Buffet fabriqué de bois récupéré et de bois de bateau recyclé,,,green,buffets,80,112,46,,,,,,,,,,,,,,,
10923450663,KT20,,75.jpg,Buffet en bois de rose 2 portes,,Buffet en bois de rose avec 3 tiroirs et 2 portes. Disponible en différentes tailles et teintes. Importation de l'Inde.,,,rosewood,buffets,85,120,46,,,,,,,,,,,,,,,
,HABITAT,,76.jpg,Buffet en teck,,Buffet fabriqué en teck de Madras de bois de bateau recyclé. Importation de l'Inde.,,,green,buffets,,,,,,,,,,,,,,,,,,
10923450446,SCRAP,,77.jpg,Étagère à 8 tiroirs en bois recyclé,,Étagère à 8 tiroirs en bois récupéré et bois de bateau recyclé Importation de l'Inde.,,,green,wardrobe,135,67,40,150,810,,,,,,,,,,,,,
10923450971,ORB1,,78.jpg,Table basse orbite,,"Table basse orbite fabriquée en racine de teck. Vient avec une vitre moyenne ou grande, polytrempée et bizotée, et piètement métallique rond. Importation d'Indonésie.",,,roots,lrconsole,70,60,60,100,1028,,,,,,,,,,,,,
10923450190,M-045,,79.jpg,Console bois de manguier et chrome,,Console fabriquée de bois de manguier avec piètement  chrome. Importation de l'Inde.,,,industrialchic,consoletables,76,120,35,100,576,,,,,,,,,,,,,
,KHEM3,,80.jpg,Miroir bois de manguier et chrome,,Miroir fabriqué en bois de manguier et chrome. Importation de l'Inde.,,,industrialchic,mirrors,120,70,4,100,416,,,,,,,,,,,,,
10923450960,LZC-809B-NG,,81.jpg,Lampe de table exotique ,,"Lampe de table de style oriental, fabriquée en métal perforé. Disponible en 4 tailles différentes. Importation de l'Inde.",,,sherazed,tablelamps,45,28,50,3,312,,,,,,,,,,,,,
,SANT-CT,,82.jpg,Table basse rondelles de teck,,Table basse fabriquée en rondelles de teck. Vient avec une vitre ronde bizotée et polytrempée. Avec piètement métallique rond. Importation d'Indonésie.,,,roots,lrconsole,50,50,50,100,916,,,,,,,,,,500 - 1000,Vitres incluses,,"31 diMETRE, 20 hauteur"
